Email,Workout Date,Workout Duration
user1@fitbod.me,2018-01-02,45
user1@fitbod.me,2018-01-03,24
user1@fitbod.me,2018-01-04,109
user1@fitbod.me,2018-01-05,100
user1@fitbod.me,2018-01-19,92
user1@fitbod.me,2018-01-26,108
user1@fitbod.me,2018-02-01,82
user1@fitbod.me,2018-02-14,72
user1@fitbod.me,2018-02-15,92
user1@fitbod.me,2018-02-20,49
user1@fitbod.me,2018-02-22,92
user1@fitbod.me,2018-02-24,65
user1@fitbod.me,2018-02-28,84
user1@fitbod.me,2018-03-01,87
user1@fitbod.me,2018-03-08,82
user1@fitbod.me,2018-03-13,94
user1@fitbod.me,2018-03-15,87
user1@fitbod.me,2018-03-20,62
user1@fitbod.me,2018-03-27,60
user1@fitbod.me,2018-03-28,99
user1@fitbod.me,2018-03-29,43
user1@fitbod.me,2018-03-30,81
user1@fitbod.me,2018-04-02,81
user1@fitbod.me,2018-04-08,142
user1@fitbod.me,2018-04-13,75
user1@fitbod.me,2018-04-19,91
user1@fitbod.me,2018-04-25,26
user1@fitbod.me,2018-05-02,78
user1@fitbod.me,2018-05-03,62
user1@fitbod.me,2018-05-10,181
user1@fitbod.me,2018-05-11,65
user1@fitbod.me,2018-05-21,60
user1@fitbod.me,2018-05-24,58
user1@fitbod.me,2018-05-25,86
user1@fitbod.me,2018-05-26,110
user1@fitbod.me,2018-05-30,69
user1@fitbod.me,2018-06-02,51
user1@fitbod.me,2018-06-07,90
user1@fitbod.me,2018-06-08,60
user1@fitbod.me,2018-06-13,52
user1@fitbod.me,2018-06-14,59
user1@fitbod.me,2018-06-15,40
user1@fitbod.me,2018-06-19,86
user2@fitbod.me,2018-05-02,18
user2@fitbod.me,2018-05-08,57
user2@fitbod.me,2018-05-24,94
user2@fitbod.me,2018-05-28,70
user2@fitbod.me,2018-06-05,13
user2@fitbod.me,2018-06-15,15
user2@fitbod.me,2018-06-17,60
user2@fitbod.me,2018-06-19,61
user2@fitbod.me,2018-06-20,50
user2@fitbod.me,2018-06-21,25
user2@fitbod.me,2018-06-22,27
user3@fitbod.me,2018-03-21,31
user3@fitbod.me,2018-03-22,50
user3@fitbod.me,2018-03-23,30
user3@fitbod.me,2018-03-28,25
user3@fitbod.me,2018-03-29,21
user3@fitbod.me,2018-03-30,41
user3@fitbod.me,2018-03-31,89
user3@fitbod.me,2018-04-01,150
user3@fitbod.me,2018-04-03,61
user3@fitbod.me,2018-04-04,33
user3@fitbod.me,2018-04-05,48
user3@fitbod.me,2018-04-07,60
user3@fitbod.me,2018-04-08,64
user3@fitbod.me,2018-04-09,18
user3@fitbod.me,2018-04-10,125
user3@fitbod.me,2018-04-11,28
user3@fitbod.me,2018-04-12,30
user3@fitbod.me,2018-04-13,17
user3@fitbod.me,2018-04-14,62
user3@fitbod.me,2018-04-15,67
user3@fitbod.me,2018-04-17,44
user3@fitbod.me,2018-04-19,74
user3@fitbod.me,2018-04-21,51
user3@fitbod.me,2018-04-22,54
user3@fitbod.me,2018-04-26,56
user3@fitbod.me,2018-04-27,66
user3@fitbod.me,2018-04-30,46
user3@fitbod.me,2018-05-02,49
user3@fitbod.me,2018-05-04,11
user3@fitbod.me,2018-05-07,103
user3@fitbod.me,2018-05-08,66
user3@fitbod.me,2018-05-09,41
user3@fitbod.me,2018-05-10,59
user3@fitbod.me,2018-05-12,29
user3@fitbod.me,2018-05-15,53
user3@fitbod.me,2018-05-17,20
user3@fitbod.me,2018-05-25,122
user3@fitbod.me,2018-05-31,62
user3@fitbod.me,2018-06-01,20
user3@fitbod.me,2018-06-02,40
user3@fitbod.me,2018-06-03,71
user3@fitbod.me,2018-06-08,80
user3@fitbod.me,2018-06-09,54
user3@fitbod.me,2018-06-14,40
user3@fitbod.me,2018-06-17,13
user3@fitbod.me,2018-06-20,18
user3@fitbod.me,2018-06-21,18
user3@fitbod.me,2018-06-22,13
user5@fitbod.me,2018-01-01,181
user5@fitbod.me,2018-01-02,25
user5@fitbod.me,2018-01-04,16
user5@fitbod.me,2018-01-08,122
user5@fitbod.me,2018-01-11,150
user5@fitbod.me,2018-01-15,13
user5@fitbod.me,2018-01-21,16
user5@fitbod.me,2018-01-29,84
user5@fitbod.me,2018-02-02,16
user5@fitbod.me,2018-02-05,19
user5@fitbod.me,2018-02-11,197
user5@fitbod.me,2018-02-20,61
user5@fitbod.me,2018-03-05,14
user5@fitbod.me,2018-04-30,61
user5@fitbod.me,2018-05-01,39
user5@fitbod.me,2018-05-07,12
user5@fitbod.me,2018-05-14,30
user5@fitbod.me,2018-05-17,17
user5@fitbod.me,2018-05-27,27
user5@fitbod.me,2018-05-30,15
user6@fitbod.me,2018-01-03,37
user6@fitbod.me,2018-01-16,50
user6@fitbod.me,2018-02-03,57
user6@fitbod.me,2018-02-06,58
user6@fitbod.me,2018-02-07,42
user6@fitbod.me,2018-02-08,60
user6@fitbod.me,2018-02-09,43
user6@fitbod.me,2018-02-11,52
user6@fitbod.me,2018-02-13,70
user6@fitbod.me,2018-02-14,43
user6@fitbod.me,2018-02-16,50
user6@fitbod.me,2018-02-18,43
user6@fitbod.me,2018-02-20,63
user6@fitbod.me,2018-02-24,60
user6@fitbod.me,2018-02-27,54
user6@fitbod.me,2018-03-01,53
user6@fitbod.me,2018-03-03,56
user6@fitbod.me,2018-03-06,51
user6@fitbod.me,2018-03-15,44
user6@fitbod.me,2018-03-21,67
user6@fitbod.me,2018-03-23,56
user6@fitbod.me,2018-03-27,63
user6@fitbod.me,2018-04-05,63
user6@fitbod.me,2018-04-06,49
user6@fitbod.me,2018-04-07,45
user6@fitbod.me,2018-04-09,50
user6@fitbod.me,2018-04-11,44
user6@fitbod.me,2018-04-12,54
user6@fitbod.me,2018-04-19,50
user6@fitbod.me,2018-04-20,40
user6@fitbod.me,2018-04-24,50
user6@fitbod.me,2018-04-25,56
user6@fitbod.me,2018-04-27,36
user6@fitbod.me,2018-04-29,56
user6@fitbod.me,2018-04-30,53
user6@fitbod.me,2018-05-01,14
user6@fitbod.me,2018-05-05,61
user6@fitbod.me,2018-05-07,51
user6@fitbod.me,2018-05-09,57
user6@fitbod.me,2018-05-11,133
user6@fitbod.me,2018-05-14,65
user6@fitbod.me,2018-05-15,44
user6@fitbod.me,2018-05-18,18
user6@fitbod.me,2018-05-19,80
user6@fitbod.me,2018-05-23,64
user6@fitbod.me,2018-05-24,56
user6@fitbod.me,2018-05-25,49
user6@fitbod.me,2018-05-26,69
user6@fitbod.me,2018-05-27,61
user6@fitbod.me,2018-05-28,60
user6@fitbod.me,2018-05-31,45
user6@fitbod.me,2018-06-02,20
user6@fitbod.me,2018-06-04,55
user6@fitbod.me,2018-06-06,127
user6@fitbod.me,2018-06-11,47
user6@fitbod.me,2018-06-12,68
user6@fitbod.me,2018-06-15,69
user6@fitbod.me,2018-06-16,52
user6@fitbod.me,2018-06-18,65
user6@fitbod.me,2018-06-20,240
user6@fitbod.me,2018-06-21,40
user6@fitbod.me,2018-06-22,21
